altitude_km,r_m,k_tension_N_per_m,k_gg_trans_N_per_m,k_gg_sign,ratio
3957.82,10335916.65,1.064313e+01,7.893501e-04,destabilizing,13483.402907338748
4021.14,10399241.72,1.077193e+01,7.841806e-04,destabilizing,13736.548594596126
4084.47,10462566.78,1.090068e+01,7.790128e-04,destabilizing,13992.938782209116
4147.79,10525891.85,1.102935e+01,7.738483e-04,destabilizing,14252.59771952565
4211.12,10589216.92,1.115793e+01,7.686883e-04,destabilizing,14515.549771477436
4274.44,10652541.98,1.128643e+01,7.635343e-04,destabilizing,14781.819420251686
4337.77,10715867.05,1.141481e+01,7.583873e-04,destabilizing,15051.431266993615
4401.09,10779192.12,1.154309e+01,7.532486e-04,destabilizing,15324.410033516542
4464.42,10842517.18,1.167125e+01,7.481194e-04,destabilizing,15600.78056403097
4527.74,10905842.25,1.179927e+01,7.430008e-04,destabilizing,15880.567826906077
4591.07,10969167.32,1.192716e+01,7.378937e-04,destabilizing,16163.796916438694
4654.39,11032492.38,1.205491e+01,7.327992e-04,destabilizing,16450.49305464892
4717.72,11095817.45,1.218250e+01,7.277181e-04,destabilizing,16740.681593089615
4781.04,11159142.51,1.230993e+01,7.226515e-04,destabilizing,17034.38801469115
4844.37,11222467.58,1.243719e+01,7.176002e-04,destabilizing,17331.637935607963
4907.69,11285792.65,1.256427e+01,7.125649e-04,destabilizing,17632.457107100036
4971.02,11349117.71,1.269117e+01,7.075465e-04,destabilizing,17936.87141743633
5034.34,11412442.78,1.281788e+01,7.025457e-04,destabilizing,18244.906893805724
5097.67,11475767.85,1.294439e+01,6.975632e-04,destabilizing,18556.589704270948
5160.99,11539092.91,1.307070e+01,6.925997e-04,destabilizing,18871.94615973057
5224.32,11602417.98,1.319680e+01,6.876557e-04,destabilizing,19191.00271590355
5287.64,11665743.05,1.332269e+01,6.827320e-04,destabilizing,19513.785975352464
5350.97,11729068.11,1.344835e+01,6.778290e-04,destabilizing,19840.32268950821
5414.29,11792393.18,1.357378e+01,6.729474e-04,destabilizing,20170.639760735077
5477.62,11855718.24,1.369898e+01,6.680875e-04,destabilizing,20504.764244412218
5540.94,11919043.31,1.382394e+01,6.632500e-04,destabilizing,20842.723351047982
5604.27,11982368.38,1.394865e+01,6.584352e-04,destabilizing,21184.544448402165
5667.59,12045693.44,1.407311e+01,6.536435e-04,destabilizing,21530.25506365033
5730.92,12109018.51,1.419732e+01,6.488755e-04,destabilizing,21879.88288557408
5794.24,12172343.58,1.432127e+01,6.441314e-04,destabilizing,22233.455766759707
5857.57,12235668.64,1.444495e+01,6.394116e-04,destabilizing,22591.001725840644
5920.89,12298993.71,1.456836e+01,6.347164e-04,destabilizing,22952.548949759035
5984.22,12362318.78,1.469150e+01,6.300462e-04,destabilizing,23318.125796055745
6047.54,12425643.84,1.481435e+01,6.254012e-04,destabilizing,23687.760795187685
6110.87,12488968.91,1.493693e+01,6.207816e-04,destabilizing,24061.482652873146
6174.19,12552293.98,1.505921e+01,6.161879e-04,destabilizing,24439.32025246527
6237.52,12615619.04,1.518121e+01,6.116201e-04,destabilizing,24821.30265735425
6300.84,12678944.11,1.530291e+01,6.070785e-04,destabilizing,25207.45911339864
6364.17,12742269.17,1.542430e+01,6.025632e-04,destabilizing,25597.819051386126
6427.49,12805594.24,1.554540e+01,5.980745e-04,destabilizing,25992.412089524336
6490.82,12868919.31,1.566619e+01,5.936126e-04,destabilizing,26391.268035961923
6554.14,12932244.37,1.578667e+01,5.891775e-04,destabilizing,26794.416891340632
6617.47,12995569.44,1.590683e+01,5.847693e-04,destabilizing,27201.88885137858
6680.79,13058894.51,1.602668e+01,5.803883e-04,destabilizing,27613.71430948533
6744.12,13122219.57,1.614621e+01,5.760346e-04,destabilizing,28029.923859409264
6807.44,13185544.64,1.626541e+01,5.717081e-04,destabilizing,28450.54829791756
6870.77,13248869.71,1.638429e+01,5.674090e-04,destabilizing,28875.618627509546
6934.09,13312194.77,1.650283e+01,5.631374e-04,destabilizing,29305.16605916368
6997.42,13375519.84,1.662105e+01,5.588933e-04,destabilizing,29739.22201511878
7060.74,13438844.91,1.673893e+01,5.546767e-04,destabilizing,30177.818131690048
7124.07,13502169.97,1.685648e+01,5.504877e-04,destabilizing,30620.98626212034
7187.40,13565495.04,1.697368e+01,5.463264e-04,destabilizing,31068.758479467295
7250.72,13628820.10,1.709054e+01,5.421926e-04,destabilizing,31521.167079526775
7314.05,13692145.17,1.720706e+01,5.380865e-04,destabilizing,31978.244583793356
7377.37,13755470.24,1.732323e+01,5.340080e-04,destabilizing,32440.023742458154
7440.70,13818795.30,1.743906e+01,5.299572e-04,destabilizing,32906.53753744492
7504.02,13882120.37,1.755453e+01,5.259339e-04,destabilizing,33377.81918548462
7567.35,13945445.44,1.766965e+01,5.219382e-04,destabilizing,33853.902141229475
7630.67,14008770.50,1.778441e+01,5.179701e-04,destabilizing,34334.820100406745
7694.00,14072095.57,1.789882e+01,5.140294e-04,destabilizing,34820.607003013065
7757.32,14135420.64,1.801286e+01,5.101162e-04,destabilizing,35311.29703654997
7820.65,14198745.70,1.812655e+01,5.062303e-04,destabilizing,35806.924639301134
7883.97,14262070.77,1.823988e+01,5.023718e-04,destabilizing,36307.5245036543
7947.30,14325395.84,1.835284e+01,4.985406e-04,destabilizing,36813.13157945125
8010.62,14388720.90,1.846544e+01,4.947365e-04,destabilizing,37323.781077428815
8073.95,14452045.97,1.857767e+01,4.909595e-04,destabilizing,37839.50847261395
8137.27,14515371.03,1.868953e+01,4.872096e-04,destabilizing,38360.34950788539
8200.60,14578696.10,1.880102e+01,4.834866e-04,destabilizing,38886.34019745889
8263.92,14642021.17,1.891215e+01,4.797904e-04,destabilizing,39417.51683051157
8327.25,14705346.23,1.902290e+01,4.761210e-04,destabilizing,39953.91597480735
8390.57,14768671.30,1.913327e+01,4.724782e-04,destabilizing,40495.57448036966
8453.90,14831996.37,1.924328e+01,4.688619e-04,destabilizing,41042.529483252845
8517.22,14895321.43,1.935291e+01,4.652721e-04,destabilizing,41594.818409263564
8580.55,14958646.50,1.946216e+01,4.617086e-04,destabilizing,42152.47897786928
8643.87,15021971.57,1.957104e+01,4.581713e-04,destabilizing,42715.54920600551
8707.20,15085296.63,1.967954e+01,4.546600e-04,destabilizing,43284.067412089884
8770.52,15148621.70,1.978766e+01,4.511748e-04,destabilizing,43858.07221994798
8833.85,15211946.76,1.989540e+01,4.477153e-04,destabilizing,44437.60256289794
8897.17,15275271.83,2.000276e+01,4.442816e-04,destabilizing,45022.69768783744
8960.50,15338596.90,2.010973e+01,4.408734e-04,destabilizing,45613.39715951919
9023.82,15401921.96,2.021633e+01,4.374907e-04,destabilizing,46209.740864303865
9087.15,15465247.03,2.032255e+01,4.341333e-04,destabilizing,46811.76901502973
9150.47,15528572.10,2.042838e+01,4.308010e-04,destabilizing,47419.522155083905
9213.80,15591897.16,2.053383e+01,4.274938e-04,destabilizing,48033.04116272248
9277.12,15655222.23,2.063889e+01,4.242115e-04,destabilizing,48652.36725559205
9340.45,15718547.30,2.074358e+01,4.209540e-04,destabilizing,49277.54199523988
9403.77,15781872.36,2.084787e+01,4.177210e-04,destabilizing,49908.60729164313
9467.10,15845197.43,2.095178e+01,4.145125e-04,destabilizing,50545.60540803537
9530.42,15908522.50,2.105531e+01,4.113283e-04,destabilizing,51188.57896512428
9593.75,15971847.56,2.115845e+01,4.081683e-04,destabilizing,51837.57094636818
9657.07,16035172.63,2.126121e+01,4.050323e-04,destabilizing,52492.62470266649
9720.40,16098497.69,2.136358e+01,4.019202e-04,destabilizing,53153.78395734786
9783.72,16161822.76,2.146556e+01,3.988317e-04,destabilizing,53821.09281055778
9847.05,16225147.83,2.156716e+01,3.957669e-04,destabilizing,54494.59574516257
9910.37,16288472.89,2.166837e+01,3.927255e-04,destabilizing,55174.33763140971
9973.70,16351797.96,2.176919e+01,3.897073e-04,destabilizing,55860.363731875266
10037.02,16415123.03,2.186963e+01,3.867122e-04,destabilizing,56552.71970738092
10100.35,16478448.09,2.196968e+01,3.837401e-04,destabilizing,57251.45162168566
10163.67,16541773.16,2.206934e+01,3.807908e-04,destabilizing,57956.60594724282
10227.00,16605098.23,2.216862e+01,3.778641e-04,destabilizing,58668.22957066015
10290.32,16668423.29,2.226751e+01,3.749599e-04,destabilizing,59386.3697981671
10353.65,16731748.36,2.236601e+01,3.720781e-04,destabilizing,60111.07436133624
10416.97,16795073.43,2.246413e+01,3.692184e-04,destabilizing,60842.39142279842
10480.30,16858398.49,2.256186e+01,3.663807e-04,destabilizing,61580.369582080675
10543.62,16921723.56,2.265920e+01,3.635649e-04,destabilizing,62325.057881431676
10606.95,16985048.62,2.275616e+01,3.607708e-04,destabilizing,63076.505811921124
10670.27,17048373.69,2.285274e+01,3.579983e-04,destabilizing,63834.763319406666
10733.60,17111698.76,2.294892e+01,3.552472e-04,destabilizing,64599.88081084041
10796.92,17175023.82,2.304473e+01,3.525173e-04,destabilizing,65371.909160308765
10860.25,17238348.89,2.314014e+01,3.498085e-04,destabilizing,66150.8997156156
10923.57,17301673.96,2.323518e+01,3.471206e-04,destabilizing,66936.9043045991
10986.90,17364999.02,2.332982e+01,3.444535e-04,destabilizing,67729.97524164752
