N,strategy,n_depots,v_repair,cadence,expected_mttr,median_mttr,max_mttr,min_mttr,p_72h,t_wait
83,hybrid,30,300.0,2,187.41740213791027,187.35200617283948,188.56672839506172,186.59388888888887,0.18837301422764227,185.18518518518516
83,hybrid,30,300.0,5,465.19517991568796,465.12978395061725,466.34450617283943,464.3716666666666,0.07534920569105691,462.96296296296293
83,hybrid,30,300.0,10,928.1581428786511,928.0927469135802,929.3074691358024,927.3346296296296,0.037674602845528454,925.9259259259259
83,hybrid,30,600.0,1,94.40870106895512,94.37600308641974,94.98336419753086,93.99694444444444,0.3789930142276423,92.59259259259258
83,hybrid,30,600.0,2,187.00129366154772,186.96859567901234,187.57595679012343,186.58953703703702,0.18949650711382116,185.18518518518516
83,hybrid,30,600.0,5,464.7790714393255,464.74637345679,465.3537345679012,464.3673148148148,0.07579860284552845,462.96296296296293
83,hybrid,30,600.0,10,927.7420344022881,927.7093364197531,928.3166975308641,927.3302777777777,0.03789930142276422,925.9259259259259
83,hybrid,50,150.0,1,94.99023396567299,94.86325925925925,96.37014814814815,93.99733333333333,0.3758527365853659,92.59259259259258
83,hybrid,50,150.0,2,187.58282655826557,187.45585185185183,188.9627407407407,186.5899259259259,0.18792636829268294,185.18518518518516
83,hybrid,50,150.0,5,465.3606043360433,465.2336296296296,466.74051851851846,464.3677037037036,0.07517054731707318,462.96296296296293
83,hybrid,50,150.0,10,928.3235672990062,928.1965925925925,929.7034814814814,927.3306666666666,0.03758527365853659,925.9259259259259
83,hybrid,50,300.0,1,94.49141327913279,94.42792592592592,95.18137037037036,93.99496296296296,0.37854636829268296,92.59259259259258
83,hybrid,50,300.0,2,187.08400587172537,187.0205185185185,187.77396296296294,186.58755555555553,0.18927318414634148,185.18518518518516
83,hybrid,50,300.0,5,464.8617836495031,464.79829629629626,465.5517407407407,464.3653333333333,0.0757092736585366,462.96296296296293
83,hybrid,50,300.0,10,927.824746612466,927.7612592592591,928.5147037037036,927.3282962962962,0.0378546368292683,925.9259259259259
83,hybrid,50,600.0,1,94.24200293586267,94.21025925925926,94.58698148148147,93.99377777777777,0.3798931841463415,92.59259259259258
83,hybrid,50,600.0,2,186.83459552845525,186.80285185185184,187.17957407407405,186.58637037037036,0.18994659207317074,185.18518518518516
83,hybrid,50,600.0,5,464.6123733062331,464.5806296296296,464.9573518518518,464.3641481481481,0.07597863682926831,462.96296296296293
83,hybrid,50,600.0,10,927.575336269196,927.5435925925925,927.9203148148148,927.327111111111,0.037989318414634154,925.9259259259259
505,uniform,0,150.0,1,182.9062904174015,179.55277777777775,278.4481481481481,96.41111111111111,0.058969583333333346,92.59259259259258
505,uniform,0,150.0,2,275.49888300999413,272.1453703703703,371.0407407407407,189.00370370370368,0.029484791666666673,185.18518518518516
505,uniform,0,150.0,5,553.2766607877718,549.9231481481481,648.8185185185184,466.7814814814814,0.011793916666666666,462.96296296296293
505,uniform,0,150.0,10,1016.2396237507348,1012.886111111111,1111.7814814814815,929.7444444444444,0.005896958333333333,925.9259259259259
505,uniform,0,300.0,1,138.44944150499705,136.7726851851852,186.22037037037038,95.20185185185184,0.14978872023809528,92.59259259259258
505,uniform,0,300.0,2,231.0420340975896,229.36527777777775,278.8129629629629,187.79444444444442,0.07489436011904764,185.18518518518516
505,uniform,0,300.0,5,508.8198118753674,507.1430555555555,556.5907407407407,465.5722222222222,0.02995774404761905,462.96296296296293
505,uniform,0,300.0,10,971.7827748383303,970.1060185185185,1019.5537037037036,928.5351851851851,0.014978872023809525,925.9259259259259
505,uniform,0,600.0,1,116.22101704879483,115.38263888888889,140.10648148148147,94.59722222222221,0.26120650793650796,92.59259259259258
505,uniform,0,600.0,2,208.8136096413874,207.97523148148144,232.69907407407405,187.1898148148148,0.13060325396825398,185.18518518518516
505,uniform,0,600.0,5,486.5913874191652,485.7530092592592,510.4768518518518,464.96759259259255,0.05224130158730159,462.96296296296293
505,uniform,0,600.0,10,949.554350382128,948.7159722222221,973.4398148148148,927.9305555555554,0.026120650793650797,925.9259259259259
505,uniform,1,150.0,1,125.54926513815401,123.15648148148148,185.85555555555555,94.07222222222222,0.21464841269841273,92.59259259259258
505,uniform,1,150.0,2,218.14185773074664,215.74907407407406,278.4481481481481,186.6648148148148,0.10732420634920636,185.18518518518516
505,uniform,1,150.0,5,495.9196355085244,493.5268518518518,556.2259259259259,464.4425925925925,0.042929682539682545,462.96296296296293
505,uniform,1,150.0,10,958.8825984714873,956.4898148148147,1019.1888888888888,927.4055555555555,0.021464841269841273,925.9259259259259
505,uniform,1,300.0,1,109.77092886537329,108.57453703703703,139.92407407407407,94.0324074074074,0.2960369841269842,92.59259259259258
505,uniform,1,300.0,2,202.3635214579659,201.1671296296296,232.51666666666665,186.62499999999997,0.1480184920634921,185.18518518518516
505,uniform,1,300.0,5,480.14129923574365,478.94490740740736,510.29444444444437,464.4027777777777,0.05920739682539682,462.96296296296293
505,uniform,1,300.0,10,943.1042621987066,941.9078703703703,973.2574074074073,927.3657407407406,0.02960369841269841,925.9259259259259
505,uniform,1,600.0,1,101.88176072898294,101.28356481481481,116.95833333333333,94.01249999999999,0.3386384920634921,92.59259259259258
505,uniform,1,600.0,2,194.47435332157553,193.8761574074074,209.5509259259259,186.60509259259257,0.16931924603174606,185.18518518518516
505,uniform,1,600.0,5,472.2521310993533,471.6539351851851,487.32870370370364,464.3828703703703,0.0677276984126984,462.96296296296293
505,uniform,1,600.0,10,935.2150940623163,934.616898148148,950.2916666666666,927.3458333333333,0.0338638492063492,925.9259259259259
505,uniform,2,150.0,1,112.75860033313737,111.59012345679011,154.99135802469135,94.07654320987653,0.2799035582010583,92.59259259259258
505,uniform,2,150.0,2,205.35119292572995,204.1827160493827,247.58395061728393,186.66913580246913,0.13995177910052914,185.18518518518516
505,uniform,2,150.0,5,483.12897070350766,481.96049382716046,525.3617283950617,464.44691358024687,0.05598071164021164,462.96296296296293
505,uniform,2,150.0,10,946.0919336664707,944.9234567901234,988.3246913580246,927.4098765432097,0.02799035582010582,925.9259259259259
505,uniform,2,300.0,1,103.37559646286499,102.79135802469135,124.49197530864197,94.03456790123457,0.33057177910052915,92.59259259259258
505,uniform,2,300.0,2,195.96818905545757,195.38395061728392,217.08456790123455,186.62716049382715,0.16528588955026458,185.18518518518516
505,uniform,2,300.0,5,473.7459668332353,473.1617283950617,494.86234567901226,464.40493827160486,0.06611435582010582,462.96296296296293
505,uniform,2,300.0,10,936.7089297961983,936.1246913580246,957.8253086419752,927.3679012345679,0.03305717791005291,925.9259259259259
505,uniform,2,600.0,1,98.68409452772879,98.39197530864197,109.24228395061728,94.01358024691358,0.3559058895502646,92.59259259259258
505,uniform,2,600.0,2,191.27668712032138,190.98456790123456,201.83487654320984,186.60617283950614,0.1779529447751323,185.18518518518516
505,uniform,2,600.0,5,469.05446489809907,468.7623456790123,479.6126543209876,464.3839506172839,0.07118117791005292,462.96296296296293
505,uniform,2,600.0,10,932.0174278610621,931.7253086419753,942.5756172839506,927.3469135802468,0.03559058895502646,925.9259259259259
505,uniform,3,150.0,1,107.31834950029395,106.68148148148148,139.55925925925925,94.07222222222222,0.30928091269841274,92.59259259259258
505,uniform,3,150.0,2,199.9109420928865,199.27407407407406,232.15185185185183,186.6648148148148,0.15464045634920637,185.18518518518516
505,uniform,3,150.0,5,477.6887198706642,477.0518518518518,509.9296296296296,464.4425925925925,0.061856182539682544,462.96296296296293
505,uniform,3,150.0,10,940.6516828336272,940.0148148148148,972.8925925925926,927.4055555555555,0.030928091269841272,925.9259259259259
505,uniform,3,300.0,1,100.65547104644327,100.33703703703704,116.77592592592592,94.0324074074074,0.3452604563492064,92.59259259259258
505,uniform,3,300.0,2,193.24806363903582,192.9296296296296,209.3685185185185,186.62499999999997,0.1726302281746032,185.18518518518516
505,uniform,3,300.0,5,471.0258414168136,470.70740740740735,487.14629629629627,464.4027777777777,0.06905209126984127,462.96296296296293
505,uniform,3,300.0,10,933.9888043797765,933.6703703703703,950.1092592592591,927.3657407407406,0.034526045634920635,925.9259259259259
505,uniform,3,600.0,1,97.32403181951791,97.1648148148148,105.38425925925925,94.01249999999999,0.36325022817460323,92.59259259259258
505,uniform,3,600.0,2,189.9166244121105,189.7574074074074,197.97685185185185,186.60509259259257,0.18162511408730161,185.18518518518516
505,uniform,3,600.0,5,467.69440218988825,467.5351851851851,475.75462962962956,464.3828703703703,0.07265004563492064,462.96296296296293
505,uniform,3,600.0,10,930.6573651528512,930.4981481481481,938.7175925925925,927.3458333333333,0.03632502281746032,925.9259259259259
505,uniform,5,150.0,1,102.42883597883598,102.10462962962963,124.12716049382716,94.04012345679011,0.33568428571428577,92.59259259259258
505,uniform,5,150.0,2,195.02142857142857,194.6972222222222,216.71975308641976,186.6327160493827,0.16784214285714288,185.18518518518516
505,uniform,5,150.0,5,472.7992063492063,472.4749999999999,494.4975308641975,464.41049382716045,0.06713685714285714,462.96296296296293
505,uniform,5,150.0,10,935.7621693121692,935.437962962963,957.4604938271605,927.3734567901233,0.03356842857142857,925.9259259259259
505,uniform,5,300.0,1,98.21071428571427,98.04861111111111,109.05987654320988,94.01635802469136,0.3584621428571429,92.59259259259258
505,uniform,5,300.0,2,190.80330687830687,190.6412037037037,201.65246913580245,186.60895061728394,0.17923107142857145,185.18518518518516
505,uniform,5,300.0,5,468.5810846560846,468.4189814814814,479.4302469135802,464.38672839506165,0.07169242857142856,462.96296296296293
505,uniform,5,300.0,10,931.5440476190475,931.3819444444443,942.3932098765431,927.3496913580246,0.03584621428571428,925.9259259259259
505,uniform,5,600.0,1,96.10165343915344,96.02060185185184,101.52623456790123,94.00447530864197,0.3698510714285714,92.59259259259258
505,uniform,5,600.0,2,188.69424603174602,188.61319444444445,194.11882716049382,186.59706790123454,0.1849255357142857,185.18518518518516
505,uniform,5,600.0,5,466.47202380952376,466.39097222222216,471.89660493827154,464.3748456790123,0.07397021428571428,462.96296296296293
505,uniform,5,600.0,10,929.4349867724867,929.353935185185,934.8595679012345,927.3378086419752,0.03698510714285714,925.9259259259259
505,uniform,7,150.0,1,100.1672619047619,100.01018518518518,116.41111111111111,94.00185185185184,0.3478967857142858,92.59259259259258
505,uniform,7,150.0,2,192.7598544973545,192.60277777777776,209.00370370370368,186.59444444444443,0.1739483928571429,185.18518518518516
505,uniform,7,150.0,5,470.53763227513224,470.3805555555555,486.7814814814814,464.37222222222215,0.06957935714285715,462.96296296296293
505,uniform,7,150.0,10,933.5005952380951,933.3435185185184,949.7444444444444,927.3351851851851,0.034789678571428576,925.9259259259259
505,uniform,7,300.0,1,97.07992724867724,97.00138888888888,105.20185185185184,93.99722222222222,0.3645683928571428,92.59259259259258
505,uniform,7,300.0,2,189.67251984126983,189.59398148148148,197.79444444444442,186.5898148148148,0.1822841964285714,185.18518518518516
505,uniform,7,300.0,5,467.45029761904755,467.3717592592592,475.5722222222222,464.36759259259253,0.07291367857142855,462.96296296296293
505,uniform,7,300.0,10,930.4132605820105,930.3347222222221,938.5351851851851,927.3305555555555,0.036456839285714276,925.9259259259259
505,uniform,7,600.0,1,95.5362599206349,95.49699074074073,99.59722222222221,93.9949074074074,0.3729041964285714,92.59259259259258
505,uniform,7,600.0,2,188.12885251322749,188.0895833333333,192.1898148148148,186.58749999999998,0.1864520982142857,185.18518518518516
505,uniform,7,600.0,5,465.9066302910053,465.86736111111105,469.96759259259255,464.36527777777775,0.07458083928571427,462.96296296296293
505,uniform,7,600.0,10,928.8695932539682,928.830324074074,932.9305555555554,927.3282407407406,0.037290419642857134,925.9259259259259
505,uniform,10,150.0,1,98.39810672866227,98.30934343434343,110.0979797979798,94.02979797979796,0.35745022366522367,92.59259259259258
505,uniform,10,150.0,2,190.99069932125488,190.90193602693603,202.69057239057238,186.62239057239054,0.17872511183261183,185.18518518518516
505,uniform,10,150.0,5,468.76847709903257,468.67971380471374,480.4683501683501,464.4001683501683,0.07149004473304472,462.96296296296293
505,uniform,10,150.0,10,931.7314400619955,931.6426767676767,943.431313131313,927.3631313131312,0.03574502236652236,925.9259259259259
505,uniform,10,300.0,1,96.19534966062744,96.150968013468,102.0452861952862,94.01119528619527,0.3693451118326118,92.59259259259258
505,uniform,10,300.0,2,188.78794225322002,188.74356060606058,194.63787878787878,186.60378787878787,0.1846725559163059,185.18518518518516
505,uniform,10,300.0,5,466.56572003099774,466.5213383838384,472.4156565656565,464.3815656565656,0.07386902236652236,462.96296296296293
505,uniform,10,300.0,10,929.5286829939606,929.4843013468012,935.3786195286194,927.3445286195285,0.03693451118326118,925.9259259259259
505,uniform,10,600.0,1,95.09397112661001,95.0717803030303,98.01893939393939,94.00189393939394,0.37529255591630595,92.59259259259258
505,uniform,10,600.0,2,187.68656371920258,187.66437289562288,190.61153198653196,186.59448653198652,0.18764627795815297,185.18518518518516
505,uniform,10,600.0,5,465.46434149698035,465.44215067340065,468.3893097643097,464.37226430976426,0.07505851118326118,462.96296296296293
505,uniform,10,600.0,10,928.4273044599432,928.4051136363636,931.3522727272726,927.3352272727271,0.03752925559163059,925.9259259259259
505,uniform,15,150.0,1,96.97484567901235,96.93425925925925,104.83703703703704,94.00185185185184,0.3651358333333334,92.59259259259258
505,uniform,15,150.0,2,189.5674382716049,189.52685185185183,197.4296296296296,186.59444444444443,0.1825679166666667,185.18518518518516
505,uniform,15,150.0,5,467.34521604938266,467.3046296296296,475.20740740740735,464.37222222222215,0.07302716666666667,462.96296296296293
505,uniform,15,150.0,10,930.3081790123456,930.2675925925926,938.1703703703703,927.3351851851851,0.036513583333333335,925.9259259259259
