n_depots,launch_cost,discount_rate,payload_revenue,npv_modular_depot,npv_monolithic,delta_npv,modular_wins
10,1500.0,0.07,200.0,-634681177.5105544,-643827288.9279016,9146111.417347193,True
10,1500.0,0.07,300.0,196030590.52464417,120422863.4462729,75607727.07837127,True
10,1500.0,0.07,500.0,1857454126.5950415,1648923168.1946225,208530958.400419,True
10,1500.0,0.1,200.0,-852431387.7740734,-834925859.2808993,-17505528.493174076,False
10,1500.0,0.1,300.0,-288444569.026292,-327760482.5282907,39315913.50199866,True
10,1500.0,0.1,500.0,839529068.4692702,686570270.9769268,152958797.49234343,True
10,2000.0,0.05,200.0,-1189873144.1378546,-1229172011.690406,39298867.55255151,True
10,2000.0,0.05,300.0,-86227523.16634232,-199496115.72886732,113268592.562525,True
10,2000.0,0.05,500.0,2121063718.7766829,1859855676.1942089,261208042.582474,True
10,2000.0,0.07,200.0,-1362701013.398362,-1367936486.8199856,5235473.421623707,True
10,2000.0,0.07,300.0,-531989245.3631638,-603686334.4458112,71697089.08264732,True
10,2000.0,0.07,500.0,1129434290.707234,924813970.3025384,204620320.4046955,True
10,2000.0,0.1,200.0,-1480188205.418971,-1451344730.2096057,-28843475.209365368,False
10,2000.0,0.1,300.0,-916201386.67119,-944179353.4569963,27977966.7858063,True
10,2000.0,0.1,500.0,211772250.8243718,70151400.04822096,141620850.77615085,True
15,500.0,0.05,200.0,1168770537.2077427,1237220841.019706,-68450303.81196332,False
15,500.0,0.05,300.0,2272416158.1792555,2266896736.981244,5519421.198011398,True
15,500.0,0.05,500.0,4479707400.122279,4326248528.904321,153458871.21795845,True
15,500.0,0.07,200.0,739870069.2351607,804391106.8562657,-64521037.621104956,False
15,500.0,0.07,300.0,1570581837.2703595,1568641259.2304397,1940578.0399198532,True
15,500.0,0.07,500.0,3232005373.340757,3097141563.978789,134863809.36196804,True
15,500.0,0.1,200.0,334267861.0310223,397911882.5765117,-63644021.54548937,False
15,500.0,0.1,300.0,898254679.7788035,905077259.3291204,-6822579.55031693,False
15,500.0,0.1,500.0,2026228317.2743654,1919408012.8343382,106820304.44002724,True
15,1000.0,0.05,200.0,320543215.1740813,415089890.1163355,-94546674.94225419,False
15,1000.0,0.05,300.0,1424188836.1455932,1444765786.0778737,-20576949.93228054,False
15,1000.0,0.05,500.0,3631480078.088618,3504117578.0009494,127362500.08766842,True
15,1000.0,0.07,200.0,-13615588.723782003,80281908.96418184,-93897497.68796384,False
15,1000.0,0.07,300.0,817096179.3114169,844532061.3383563,-27435882.026939392,False
15,1000.0,0.07,500.0,2478519715.381814,2373032366.086705,105487349.2951088,True
15,1000.0,0.1,200.0,-313736056.93110514,-218506988.35219392,-95229068.57891122,False
15,1000.0,0.1,300.0,250250761.81667602,288658388.4004147,-38407626.583738685,False
15,1000.0,0.1,500.0,1378224399.3122382,1302989141.9056325,75235257.40660572,True
15,1500.0,0.05,200.0,-527684106.85958016,-407041060.7870347,-120643046.07254547,False
15,1500.0,0.05,300.0,575961514.1119324,622634835.1745034,-46673321.06257105,False
15,1500.0,0.05,500.0,2783252756.054957,2681986627.09758,101266128.95737696,True
15,1500.0,0.07,200.0,-767101246.6827247,-643827288.9279016,-123273957.75482309,False
